;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
1;110200 Inventario Recepciones;;; 202.568.880,81 ; 15.582.457.336,02 ;; 15.379.888.455,21 ;;;;;;;;;;
2;110300 Inventario Entregas;;; 17.092.578.591,28 ; 2.389.768.053,69 ; 14.702.810.537,59 ;;;;;;;;;;;
3;11050501 CAJA GENERAL                                      ; 14.343.826,35 ;; 160.925,00 ; 844.245,00 ; 13.660.506,35 ;;;;;;;;;;;
4;11051002 CAJA PAGOS LOGISTICOS                             ; 226.600,00 ;;;; 226.600,00 ;;;;;;;;;;;
5;11051003 CAJA PRINCIPAL 1                                  ; 43.630.000,00 ;;;; 43.630.000,00 ;;;;;;;;;;;
6;11051004 CAJA PRINCIPAL 2                                  ; 29.449.302,00 ;;;; 29.449.302,00 ;;;;;;;;;;;
7;11100201 COBROS PENDIENTES;;; 122.322,00 ;; 122.322,00 ;;;;;;;;;;;
8;11100301 PAGOS PENDIENTES;;;; 63.933.031,00 ;; 63.933.031,00 ;;;;;;;;;;
9;11100505 BOGOTA CTA CORRIENTE (694819)                     ; 0,57 ;; 169.646.311,10 ; 99.168.283,95 ; 70.478.027,72 ;;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
10;11100510 BANCOLOMBIA CTA CTE (0536)                        ; 119.727.696,35 ;; 5.281.037.237,46 ; 2.197.802.267,02 ; 3.202.962.666,79 ;;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
11;11100515 BANCOOMEVA CTA CTE (201106)                       ; 0,60 ;;; 2.117.080.184,00 ;; 2.117.080.183,40 ;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
12;11150101 TRANSFERENCIA INTERNA;;; 1,00 ; 1,00 ;;;;;;;;;;;;
13;11151001 BANCO DE BOGOTA MIAMI 92619                       ; 698.900,06 ;;;; 698.900,06 ;;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
14;11200501 BANCOLOMBIA CTA AHO 1396300181                    ; 184.337.847,15 ;; 19.337.951.693,68 ; 9.452.349.388,15 ; 10.069.940.152,68 ;;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
15;11200510 IRIS CTA AHORROS 0541;;; 890.794.425,95 ; 890.241.745,87 ; 552.680,08 ;;1012;1110;Saldo de la cuenta por tercero (25);D y C;(K) Vr a 31 de diciembre;;;;;
16;12450502 FIDUCUENTA FIDUCIARIA BANCOLOMBIA 1846            ; 2.137.490,53 ;; 246.099,69 ; 8.111,06 ; 2.375.479,16 ;;1012;1203;Saldo de la cuenta por tercero (26);D y C;(K) Vr a 31 de diciembre;;;;;
17;13050501 CLIENTES NACIONALES                               ; 2.059.272.798,44 ;; 41.897.872.351,88 ; 39.614.249.691,24 ; 4.342.895.459,08 ;;1008;1315;Saldo de la cuenta por tercero (16);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
18;13250501 A SOCIOS                                          ; 512.294.066,00 ;;;; 512.294.066,00 ;;1008;1317;Saldo de la cuenta por tercero (17);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
19;13300501 A PROVEEDORES                                     ; 11.704.044,00 ;; 63.542.042,00 ;; 75.246.086,00 ;;1008;1317;Saldo de la cuenta por tercero (18);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
20;13309501 OTROS                                             ; 47.294.973,42 ;; 123.787.531,00 ; 943.061.180,82 ;; 771.978.676,40 ;1008;1317;Saldo de la cuenta por tercero (18);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
21;13309505 OTROS TRASLADOS ENTRE CUENTAS;;; 727.568.866,07 ; 702.568.866,07 ; 25.000.000,00 ;;;;;;;;;;;
22;13350501 PARA IMPORTACIONES                                ; 4.693.336,00 ;;;; 4.693.336,00 ;;1008;1317;Saldo de la cuenta por tercero (18);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
23;13551501 RETENCION EN LA FUENTE                            ;;;;;;;;;;;;;;;;
24;13551502 RETENCION EN LA FUENTE   1%                       ;;;;;;;;;;;;;;;;
